Sample	AS	ASprime	LOH_n_seg	LOH_frac_altered
TCGA-18-3406-01	8	11	54	0.3576315099074568
TCGA-18-3407-01	25	18	20	0.2099191469613237
TCGA-18-3408-01	5	5	16	0.15783025133170556
TCGA-18-3410-01	20	19	29	0.23608954774709565
TCGA-18-3411-01	19	57	54	0.4328581733630655
TCGA-18-3412-01	17	40	42	0.18530615444693951
TCGA-18-3414-01	11	17	43	0.19082717963565565
TCGA-18-3415-01	17	40	83	0.44000989504283294
TCGA-18-3416-01	19	32	74	0.4568333099868353
TCGA-18-3417-01	29	66	62	0.5329188707477077
TCGA-18-3419-01	11	11	36	0.20468246995657025
TCGA-18-3421-01	13	31	71	0.3993784622918205
TCGA-18-4083-01	14	35	59	0.3247030738738248
TCGA-18-4086-01	4	9	25	0.21830207919176686
TCGA-18-4721-01	9	18	57	0.5010345784649843
TCGA-18-5592-01	12	17	29	0.4284457091582355
TCGA-21-1071-01	25	57	32	0.3673981543812089
TCGA-21-1072-01	19	31	31	0.37922200722248617
TCGA-21-1075-01	19	27	53	0.3882319379175229
TCGA-21-1076-01	32	19	24	0.4291859998281416
TCGA-21-1079-01	19	37	21	0.15031702853445852
TCGA-21-1080-01	13	17	42	0.3212561604035905
TCGA-21-1081-01	31	28	50	0.638498738
TCGA-21-1082-01	10	15	55	0.4219534706056269
TCGA-21-5782-01	9	13	47	0.3214156346784335
TCGA-21-5783-01	17	34	138	0.35271561397394263
TCGA-21-5784-01	12	34	14	0.4479860897260661
TCGA-21-5786-01	24	33	47	0.5242674016960437
TCGA-21-5787-01	23	36	68	0.4606220278183682
TCGA-22-0940-01	11	16	42	0.3720684842285914
TCGA-22-0944-01	10	13	38	0.3628995083141072
TCGA-22-1000-01	11	10	13	0.31718707092882537
TCGA-22-1002-01	9	7	19	0.2420001019898279
TCGA-22-1005-01	4	7	9	0.12138464768184118
TCGA-22-1011-01	18	12	14	0.4991862720022697
TCGA-22-1012-01	22	26	32	0.3256033279380024
